date,amount,category,description,payment_method,is_fixed,memo,year,month
2023-01-10,17500,통신비,휴대폰 요금,카드,True,,2023,1
2023-01-20,3500,구독,티빙,카드,True,,2023,1
2023-02-10,17500,통신비,휴대폰 요금,카드,True,,2023,2
2023-02-20,3500,구독,티빙,카드,True,,2023,2
2023-03-10,17500,통신비,휴대폰 요금,카드,True,,2023,3
2023-03-20,3500,구독,티빙,카드,True,,2023,3
2023-04-10,17500,통신비,휴대폰 요금,카드,True,,2023,4
2023-04-20,3500,구독,티빙,카드,True,,2023,4
2023-05-10,17500,통신비,휴대폰 요금,카드,True,,2023,5
2023-05-20,3500,구독,티빙,카드,True,,2023,5
2023-06-10,17500,통신비,휴대폰 요금,카드,True,,2023,6
2023-06-20,3500,구독,티빙,카드,True,,2023,6
2023-07-10,17500,통신비,휴대폰 요금,카드,True,,2023,7
2023-07-20,3500,구독,티빙,카드,True,,2023,7
2023-08-10,17500,통신비,휴대폰 요금,카드,True,,2023,8
2023-08-20,3500,구독,티빙,카드,True,,2023,8
2023-09-10,17500,통신비,휴대폰 요금,카드,True,,2023,9
2023-09-20,3500,구독,티빙,카드,True,,2023,9
2023-10-10,17500,통신비,휴대폰 요금,카드,True,,2023,10
2023-10-20,3500,구독,티빙,카드,True,,2023,10
2023-11-10,11500,통신비,휴대폰 요금,카드,True,,2023,11
2023-11-20,3500,구독,티빙,카드,True,,2023,11
2023-12-10,11500,통신비,휴대폰 요금,카드,True,,2023,12
2023-12-20,3500,구독,티빙,카드,True,,2023,12
2023-01-08,2469,교통비,버스,카드,False,,2023,1
2023-01-26,1212,기타,기타 지출,간편결제,False,,2023,1
2023-01-07,27059,쇼핑,의류,카드,False,,2023,1
2023-01-30,149615,미용/관리,미용실,카드,False,,2023,1
2023-01-10,15133,식비,카페,카드,False,,2023,1
2023-01-23,3279,기타,기타 지출,카드,False,,2023,1
2023-01-21,15659,쇼핑,의류,카드,False,,2023,1
2023-01-15,2327,교통비,지하철,카드,False,,2023,1
2023-01-07,17358,기타,기타 지출,카드,False,,2023,1
2023-01-09,118301,미용/관리,미용실,카드,False,,2023,1
2023-01-29,14087,기타,기타 지출,카드,False,,2023,1
2023-01-25,106175,미용/관리,미용실,카드,False,,2023,1
2023-01-13,150019,미용/관리,미용실,카드,False,,2023,1
2023-01-17,9238,기타,기타 지출,카드,False,,2023,1
2023-01-25,12146,기타,기타 지출,카드,False,,2023,1
2023-01-17,45979,쇼핑,의류,카드,False,,2023,1
2023-01-05,13252,기타,기타 지출,간편결제,False,,2023,1
2023-01-03,16924,기타,기타 지출,카드,False,,2023,1
2023-01-05,16574,기타,기타 지출,카드,False,,2023,1
2023-01-31,7940,기타,기타 지출,카드,False,,2023,1
2023-01-29,12930,쇼핑,의류,카드,False,,2023,1
2023-01-03,19084,식비,배달,카드,False,,2023,1
2023-01-18,117342,미용/관리,미용실,카드,False,,2023,1
2023-01-08,16498,기타,기타 지출,카드,False,,2023,1
2023-01-14,153883,미용/관리,미용실,카드,False,,2023,1
2023-01-22,112899,미용/관리,미용실,카드,False,,2023,1
2023-01-14,124050,미용/관리,미용실,카드,False,,2023,1
2023-01-08,9940,쇼핑,의류,카드,False,,2023,1
2023-01-02,18713,기타,기타 지출,카드,False,,2023,1
2023-01-06,12886,식비,배달,카드,False,,2023,1
2023-01-06,149672,미용/관리,미용실,카드,False,,2023,1
2023-01-09,17863,식비,외식,카드,False,,2023,1
2023-01-23,41422,쇼핑,의류,간편결제,False,,2023,1
2023-01-07,138890,미용/관리,미용실,카드,False,,2023,1
2023-01-24,11276,기타,기타 지출,카드,False,,2023,1
2023-01-16,18970,식비,카페,카드,False,,2023,1
2023-01-28,7089,기타,기타 지출,카드,False,,2023,1
2023-01-22,8707,기타,기타 지출,카드,False,,2023,1
2023-01-08,5651,식비,카페,간편결제,False,,2023,1
2023-01-22,13565,식비,외식,카드,False,,2023,1
2023-01-22,20642,쇼핑,의류,카드,False,,2023,1
2023-01-22,139321,미용/관리,미용실,카드,False,,2023,1
2023-01-30,109508,미용/관리,미용실,카드,False,,2023,1
2023-01-20,6638,식비,외식,카드,False,,2023,1
2023-01-17,9690,기타,기타 지출,카드,False,,2023,1
2023-01-15,24825,쇼핑,의류,간편결제,False,,2023,1
2023-01-22,19173,기타,기타 지출,카드,False,,2023,1
2023-01-09,8329,쇼핑,의류,카드,False,,2023,1
2023-02-05,18674,식비,카페,카드,False,,2023,2
2023-02-14,5176,기타,기타 지출,카드,False,,2023,2
2023-02-26,7614,쇼핑,의류,카드,False,,2023,2
2023-02-25,19331,식비,외식,카드,False,,2023,2
2023-02-08,6324,기타,기타 지출,카드,False,,2023,2
2023-02-26,21263,쇼핑,의류,카드,False,,2023,2
2023-02-11,2120,교통비,버스,카드,False,,2023,2
2023-02-12,11548,식비,외식,간편결제,False,,2023,2
2023-02-01,4779,기타,기타 지출,카드,False,,2023,2
2023-02-20,12578,쇼핑,의류,카드,False,,2023,2
2023-02-09,2454,기타,기타 지출,간편결제,False,,2023,2
2023-02-12,15132,기타,기타 지출,카드,False,,2023,2
2023-02-22,24681,쇼핑,의류,간편결제,False,,2023,2
2023-02-13,18954,기타,기타 지출,카드,False,,2023,2
2023-02-15,15476,기타,기타 지출,카드,False,,2023,2
2023-02-26,3180,교통비,버스,카드,False,,2023,2
2023-02-03,8696,기타,기타 지출,간편결제,False,,2023,2
2023-02-08,15015,식비,배달,간편결제,False,,2023,2
2023-02-14,14431,식비,외식,카드,False,,2023,2
2023-02-25,7881,식비,배달,간편결제,False,,2023,2
2023-02-02,19265,기타,기타 지출,카드,False,,2023,2
2023-02-05,15937,식비,외식,카드,False,,2023,2
2023-02-25,15502,기타,기타 지출,카드,False,,2023,2
2023-02-27,18952,기타,기타 지출,카드,False,,2023,2
2023-02-27,39163,쇼핑,의류,간편결제,False,,2023,2
2023-02-14,3040,기타,기타 지출,카드,False,,2023,2
2023-02-28,19864,기타,기타 지출,카드,False,,2023,2
2023-02-28,32460,쇼핑,의류,간편결제,False,,2023,2
2023-02-16,8190,기타,기타 지출,카드,False,,2023,2
2023-02-13,19493,기타,기타 지출,간편결제,False,,2023,2
